Run: 232, exploration: 0, score: 324, time: 65.49212670326233
Run: 233, exploration: 0, score: 293, time: 65.77056741714478
Run: 234, exploration: 0, score: 215, time: 66.02720093727112
Run: 235, exploration: 0, score: 192, time: 66.28464579582214
Run: 236, exploration: 0, score: 288, time: 66.53602528572083
Run: 237, exploration: 0, score: 168, time: 66.78270769119263
Run: 238, exploration: 0, score: 217, time: 67.03815031051636
Run: 239, exploration: 0, score: 434, time: 67.36141157150269
Run: 240, exploration: 0, score: 221, time: 67.618159532547
Run: 241, exploration: 0, score: 226, time: 67.9011402130127
Run: 242, exploration: 0, score: 363, time: 68.17037224769592
Run: 243, exploration: 0, score: 172, time: 68.43414640426636
Run: 244, exploration: 0, score: 226, time: 68.69525933265686
Run: 245, exploration: 0, score: 188, time: 68.9566867351532
Run: 246, exploration: 0, score: 1053, time: 69.25093269348145
Run: 247, exploration: 0, score: 141, time: 69.52490472793579
Run: 248, exploration: 0, score: 646, time: 69.82381987571716
Run: 249, exploration: 0, score: 289, time: 70.09763264656067
Run: 250, exploration: 0, score: 414, time: 70.43669152259827
Run: 251, exploration: 0, score: 148, time: 70.68664622306824
Run: 252, exploration: 0, score: 380, time: 70.97274851799011
Run: 253, exploration: 0, score: 325, time: 71.23360085487366
Run: 254, exploration: 0, score: 125, time: 71.48222327232361
Run: 255, exploration: 0, score: 353, time: 71.73511123657227
Run: 256, exploration: 0, score: 148, time: 71.99127507209778
Run: 257, exploration: 0, score: 248, time: 72.24800610542297
Run: 258, exploration: 0, score: 675, time: 72.5199408531189
Run: 259, exploration: 0, score: 416, time: 72.79788041114807
Run: 260, exploration: 0, score: 302, time: 73.06111168861389
Run: 261, exploration: 0, score: 223, time: 73.38834190368652
Run: 262, exploration: 0, score: 415, time: 73.64377427101135
Run: 263, exploration: 0, score: 270, time: 73.91484880447388
Run: 264, exploration: 0, score: 211, time: 74.1767897605896
Run: 265, exploration: 0, score: 195, time: 74.43382906913757
Run: 266, exploration: 0, score: 335, time: 74.69432473182678
Run: 267, exploration: 0, score: 322, time: 74.9599084854126
Run: 268, exploration: 0, score: 408, time: 75.23421454429626
Run: 269, exploration: 0, score: 364, time: 75.50162506103516
Run: 270, exploration: 0, score: 114, time: 75.78162693977356
Run: 271, exploration: 0, score: 307, time: 76.05021786689758
Run: 272, exploration: 0, score: 459, time: 76.41314888000488
Run: 273, exploration: 0, score: 358, time: 76.69837880134583
Run: 274, exploration: 0, score: 128, time: 76.94603896141052
Run: 275, exploration: 0, score: 254, time: 77.21314024925232
Run: 276, exploration: 0, score: 629, time: 77.51561236381531
Run: 277, exploration: 0, score: 291, time: 77.82537388801575
Run: 278, exploration: 0, score: 241, time: 78.0834813117981
Run: 279, exploration: 0, score: 353, time: 78.3398368358612
Run: 280, exploration: 0, score: 247, time: 78.6089220046997
Run: 281, exploration: 0, score: 218, time: 78.86306071281433
Run: 282, exploration: 0, score: 453, time: 79.11917662620544
Run: 283, exploration: 0, score: 206, time: 79.45872759819031
Run: 284, exploration: 0, score: 128, time: 79.71105408668518
Run: 285, exploration: 0, score: 567, time: 79.97815704345703
Run: 286, exploration: 0, score: 99, time: 80.22740769386292
Run: 287, exploration: 0, score: 435, time: 80.48828220367432
Run: 288, exploration: 0, score: 764, time: 80.77614045143127
Run: 289, exploration: 0, score: 298, time: 81.05800652503967
Run: 290, exploration: 0, score: 622, time: 81.3380057811737
Run: 291, exploration: 0, score: 507, time: 81.62648582458496
Run: 292, exploration: 0, score: 229, time: 81.88919115066528
