Run: 184, exploration: 0.2996988247284949, score: 32, time: 1765.1068000793457
Run: 185, exploration: 0.2982003306048524, score: 31, time: 1770.6352994441986
Run: 186, exploration: 0.29670932895182817, score: 1000, time: 1792.3464787006378
Run: 187, exploration: 0.29522578230706903, score: 368, time: 1802.7920327186584
Run: 188, exploration: 0.29374965339553366, score: 1000, time: 1824.667376279831
Run: 189, exploration: 0.292280905128556, score: 1000, time: 1847.8127818107605
Run: 190, exploration: 0.2908195006029132, score: 1000, time: 1870.3353271484375
Run: 191, exploration: 0.2893654030998986, score: 1000, time: 1894.1665301322937
Run: 192, exploration: 0.28791857608439914, score: 1000, time: 1918.346967458725
Run: 193, exploration: 0.28647898320397713, score: 1000, time: 1939.6390948295593
Run: 194, exploration: 0.28504658828795726, score: 1000, time: 1961.7535464763641
Run: 195, exploration: 0.28362135534651745, score: 1000, time: 1984.1944272518158
Run: 196, exploration: 0.28220324856978485, score: 1000, time: 2005.9616258144379
Run: 197, exploration: 0.2807922323269359, score: 1000, time: 2028.1675775051117
Run: 198, exploration: 0.27938827116530124, score: 1000, time: 2050.4487540721893
Run: 199, exploration: 0.2779913298094747, score: 1000, time: 2072.2961881160736
Run: 200, exploration: 0.2766013731604273, score: 1000, time: 2094.479481935501
